출고요청일,품목코드,출고수량,출고단위,납품번호,납품품목,주문단위,주문수량,출고중량,자재그룹명,자재유형명,item 번호
2016-01-01,30500685,5,EA,4002835878,1,EA,5,1.465,샌드위치_TLJ,완제품,1
2016-01-01,30500480,5,EA,4002835878,3,EA,5,1.09,샌드위치_TLJ,완제품,3
2016-01-01,30500282,5,EA,4002835878,4,EA,5,1.165,샌드위치_TLJ,완제품,4
2016-01-01,30000204,1,PAC,4002836134,1,PAC,1,0.8,냉동생지_식빵,완제품,1
2016-01-01,30000209,1,PAC,4002836134,2,PAC,1,1.2,냉동생지_식빵,완제품,2
2016-01-01,30000281,1,PAC,4002836134,3,PAC,1,0.64,냉동생지_식빵,완제품,3
2016-01-01,30000280,1,PAC,4002836134,4,PAC,1,1.76,냉동생지_식빵,완제품,4
2016-01-01,40014553,1,EA,4002836134,5,EA,1,1,기타가공식품류,원재료,5
2016-01-01,20022569,1,PAC,4002836134,6,PAC,1,8,매입생지,상품,6
2016-01-01,30000104,1,PAC,4002836134,7,PAC,1,2.08,냉동생지_식빵,완제품,7
2016-01-01,30000052,1,PAC,4002836134,8,PAC,1,1.6,냉동생지_패스츄리,완제품,8
2016-01-01,30000283,1,PAC,4002836134,9,PAC,1,2.52,냉동생지_식빵,완제품,9
2016-01-01,30000058,1,PAC,4002836134,10,PAC,1,0.9,냉동생지_과자빵,완제품,10
2016-01-01,30000432,1,PAC,4002836134,11,PAC,1,1.1,냉동생지_과자빵,완제품,11
2016-01-01,30000431,1,PAC,4002836134,12,PAC,1,0.2,냉동생지_패스츄리,완제품,12
2016-01-01,30000489,1,PAC,4002836134,13,PAC,1,0.8,냉동생지_과자빵,완제품,13
2016-01-01,20022524,1,PAC,4002836134,14,PAC,1,10,매입생지,상품,14
2016-01-01,30000159,2,PAC,4002836134,15,PAC,2,4,냉동생지_과자빵,완제품,15
2016-01-01,20001362,1,PAC,4002836134,16,PAC,1,12,매입생지,상품,16
2016-01-01,30000439,1,PAC,4002836134,17,PAC,1,1,냉동생지_과자빵,완제품,17
2016-01-01,30000239,2,PAC,4002836134,18,PAC,2,0.92,냉동생지_식빵,완제품,18
2016-01-01,30000027,1,PAC,4002836134,19,PAC,1,0.87,냉동생지_레온,완제품,19
2016-01-01,30000003,1,PAC,4002836134,20,PAC,1,1.4,냉동생지_과자빵,완제품,20
2016-01-01,30000005,1,PAC,4002836134,21,PAC,1,0.55,냉동생지_과자빵,완제품,21
2016-01-01,30000165,1,PAC,4002836134,22,PAC,1,1.35,냉동생지_과자빵,완제품,22
