ds,y,
2007-12-10,14629,5145.571429
2007-12-11,5012,4031.571429
2007-12-12,3582,3939.857143
2007-12-13,3205,3884.714286
2007-12-14,2680,3804.285714
2007-12-15,2401,3757
2007-12-16,4510,3680
2007-12-17,6831,3661.714286
2007-12-18,4370,3477.571429
2007-12-19,3196,3220.714286
2007-12-20,2642,3132.142857
2007-12-21,2349,3203.285714
2007-12-22,1862,3263.428571
2007-12-23,4382,3359.714286
2007-12-24,5542,5072.142857
2007-12-25,2572,5983.285714
2007-12-26,2576,6187.142857
2007-12-27,3140,6476.857143
2007-12-28,2770,6581.714286
2007-12-29,2536,6659.857143
2007-12-30,16369,6702.714286
2007-12-31,11920,6290.571429
2008-01-01,3999,5580.857143
2008-01-02,4604,5664.571429
2008-01-03,3874,5552.714286
2008-01-04,3317,5563.714286
2008-01-05,2836,5660.571429
2008-01-06,13484,5775.142857
2008-01-07,6952,6984.571429
2008-01-08,4585,9564.428571
2008-01-09,3821,9992.857143
2008-01-10,3951,10197.14286
2008-01-11,3995,10369.14286
2008-01-12,3638,10433.57143
2008-01-13,21950,10446.14286
2008-01-14,25011,8295.857143
2008-01-15,7584,12440.71429
2008-01-16,5251,13163.57143
2008-01-17,5155,13485.57143
2008-01-18,4446,13482.42857
2008-01-19,3726,13546.28571
2008-01-20,6898,13660.42857
2008-01-21,54025,13430
2008-01-22,12644,6601.571429
2008-01-23,7505,5598.142857
2008-01-24,5133,5361.142857
2008-01-25,4893,5598.857143
2008-01-26,4525,5629.142857
2008-01-27,5285,7309.285714
2008-01-28,6226,32185
2008-01-29,5620,37235
2008-01-30,5846,38744
2008-02-01,6797,39496
2008-02-02,5105,39649.28571
2008-02-03,16286,39687.57143
2008-02-04,179415,38150.57143
2008-02-05,41576,13308.57143
2008-02-06,16183,7897.428571
2008-02-07,11110,6040
2008-02-08,7870,4929.857143
2008-02-09,5373,4154
2008-02-10,5527,3679.857143
2008-02-11,5521,3163.428571
2008-02-12,3698,2693.857143
2008-02-13,3181,2510.285714
2008-02-14,3339,2374
2008-02-15,2439,2234.857143
2008-02-16,2054,2200.428571
2008-02-17,1912,2135.714286
2008-02-18,2234,2252
2008-02-19,2413,2226
2008-02-20,2227,2159.285714
2008-02-21,2365,2117.571429
2008-02-22,2198,2051.857143
2008-02-23,1601,1957.285714
2008-02-24,2726,2211
2008-02-25,2052,2202.142857
2008-02-26,1946,2264.571429
2008-02-27,1935,2216.571429
2008-02-29,1905,2293.857143
2008-03-02,1536,2291.142857
2008-03-05,3377,2342.857143
2008-03-06,2664,2172.428571
2008-03-07,2489,2044.285714
2008-03-08,1610,1913
2008-03-09,2476,1844.857143
2008-03-10,1886,1667.428571
2008-03-11,1898,1620.285714
2008-03-12,2184,1566.285714
2008-03-13,1767,1479.714286
2008-03-14,1570,1434.142857
2008-03-15,1133,1411.285714
2008-03-16,1234,1406.428571
2008-03-17,1556,1414.714286
2008-03-18,1520,1527.142857
2008-03-19,1578,1573.142857
2008-03-20,1448,1584.714286
2008-03-21,1410,1621.714286
2008-03-22,1099,1617.142857
2008-03-23,1292,1615.428571
2008-03-24,2343,1624.428571
2008-03-25,1842,1503.571429
2008-03-26,1659,1462.571429
2008-03-27,1707,1487.571429
2008-03-28,1378,1475.857143
2008-03-29,1087,1487.571429
2008-03-30,1355,1538.142857
2008-03-31,1497,1530
2008-04-01,1555,1604.857143
2008-04-02,1834,1673.285714
2008-04-03,1625,1651.142857
2008-04-04,1460,1929.857143
2008-04-05,1441,1954.857143
2008-04-06,1298,1923.285714
2008-04-07,2021,1907.714286
2008-04-08,2034,1857.714286
2008-04-09,1679,1823.285714
2008-04-10,3576,1813.857143
2008-04-11,1635,1613.142857
2008-04-12,1220,1691.571429
2008-04-13,1189,1720.285714
2008-04-14,1671,2042.714286
2008-04-15,1793,2673.571429
2008-04-16,1613,2883.857143
2008-04-17,2171,3016.428571
2008-04-18,2184,3006
2008-04-19,1421,3128.857143
2008-04-20,3446,3285.142857
2008-04-21,6087,3117.142857
2008-04-22,3265,2609
2008-04-23,2541,2435.714286
2008-04-24,2098,2371.142857
2008-04-25,3044,2342.571429
2008-04-26,2515,2151.142857
2008-04-27,2270,1960.428571
2008-04-28,2530,1797
2008-04-29,2052,1667.428571
